Lista towarów
Nazwa	Cena det.	Kod	Iloœæ	JM	Cena ew.	Mar¿a rz.%	VAT %	Asortyment	Min. cena sp. PC-POS	Blok. dost.	Blok. c. zak.	Blok. c. sp.	Blok innych zm.	Ost. zmiana
00 WÊDLINA	360,00	'3800	0,000	1.000 szt	246,11	39,31	5 %	WÊDLINY SERY	0,00	NIE	NIE	NIE	NIE	03.09.2026 20:07:44
BALERON GOTOWANY /MOŒCIBRODY	45,99	'3191	0,000	0.001 kg	31,15	40,61	5 %	WÊDLINY SERY	0,00	NIE	NIE	NIE	NIE	29.12.2025 18:39:05
BALERON SOPEL /ALEKSANDRIA /PRYGA	47,50	'293004???????	0,000	0.001 kg	32,19	40,54	5 %	WAGA ETYKIETUJACA	0,00	NIE	NIE	NIE	NIE	02.06.2026 13:46:52
BALERON WITKA CIEP£Y	44,00	'293235???????	0,000	0.001 kg	31,85	31,55	5 %	WITKOWSKI	0,00	NIE	NIE	NIE	NIE	05.09.2026 16:42:24
BERLINKI CLASSIC 250G	8,00	'5900567001746	0,000	1.000 szt	4,99	52,71	5 %	WÊDLINY SERY	0,00	NIE	NIE	NIE	NIE	11.08.2026 19:02:43
BIODRÓWKA /ZYNKA Z PIEKARNIKA /HANDEREK	44,50	'5090	0,000	0.001 kg	29,37	44,30	5 %	WÊDLINY SERY	0,00	NIE	NIE	NIE	NIE	26.06.2025 06:08:11
BOCZEK DUÑSKI PASKI PASEK EXTRA WÊDZONY PARZONY	39,80	'293078???????	2,149	0.001 kg	23,49	61,35	5 %	WAGA ETYKIETUJACA	0,00	NIE	NIE	NIE	NIE	05.09.2026 16:41:47
BOCZEK FARMERSKI / DELIKATESOWY ROBERTO	44,99	'3528	-0,180	0.001 kg	26,99	58,76	5 %	WÊDLINY SERY	0,00	NIE	NIE	NIE	NIE	04.09.2026 18:48:55
BOCZEK OD DZIEDZICA	42,00	'4946	0,000	0.001 kg	22,25	79,78	5 %	WÊDLINY SERY	0,00	NIE	NIE	NIE	NIE	17.03.2026 06:35:26
BOCZEK ROLOWANY /ROLADA /ZE SYTAGANU	49,99	'3401	0,000	0.001 kg	32,86	44,89	5 %	WÊDLINY SERY	0,00	NIE	NIE	NIE	NIE	11.08.2026 19:02:43
BOCZEK SUROWY	26,40	'3570	0,000	0.001 kg	17,81	41,16	5 %	MIÊSO	0,00	NIE	NIE	NIE	NIE	04.09.2026 18:48:56
BOCZEK W POSYPCE KABANOS	22,00	'4907	0,000	0.001 kg	13,99	49,75	5 %	WÊDLINY SERY	0,00	NIE	NIE	NIE	NIE	11.08.2026 19:02:43
BOCZEK WIEJSKI WIT CIEP£ PRYGA	50,00	'291800???????	0,000	0.001 kg	35,56	33,91	5 %	WITKOWSKI	0,00	NIE	NIE	NIE	NIE	07.09.2026 10:55:48
BOCZEK Z CZOSNKIEM	42,00	'3372	0,000	0.001 kg	27,99	42,91	5 %	WÊDLINY SERY	0,00	NIE	NIE	NIE	NIE	01.04.2025 22:17:41
BOCZEK ZAPIEKANY Z POLÊDWICZK¥	49,99	'2888	0,000	0.001 kg	33,99	40,07	5 %	WÊDLINY SERY	0,00	NIE	NIE	NIE	NIE	05.09.2026 16:42:02
ÆWIARTKI Z KURCZ¥T UDKA	9,00	'3447	1,040	0.001 kg	5,16	66,09	5 %	MIÊSO	0,00	NIE	NIE	NIE	NIE	04.09.2026 18:48:57
